plato,ingredientes
Aji de Pataskha,"'carne de res','maíz pelado','cabeza de cerdo','cebolla blanca','cebolla verde','apio','comino'"
Caldo de Bagre,"['bagre','aceite','agua','ajo','cebolla','tomate','yuca','comino','cilantro','sal','pimienta']"
Cazuela,"['pollo','aceite','cebolla','puerro','zanahoria','pimiento rojo','pimiento verde','tomate','arvejas','caldo de verdura','sal','pimienta','laurel']"
Chairo,"['chuño','maíz blanco','trigo','sal','caldo','cebolla','perejil','cilantro','hierbabuena','zanahoria','habas','arvejas','orégano','comino','pimienta','ají colorado','papa','carne de vaca','carne de oveja','aceite']"
Charquekan Orureño,"['charque','maíz blanco','papa','huevo','queso','limón']"
Chicharrón,"['carne de cerdo','costillita de cerdo','mote','chuño','sal','agua','locoto','tomate','ají amarillo','cebolla','chicha']"
Chorizos,"['carne de cerdo','tripa de res','perejil','orégano','hierbabuena','cebolla verde','azúcar','clavo de olor','naranja','canela','ají rojo','ajo','sal','pimienta']"
Cunape,"['almidón de yuca','queso','huevo','mantequilla','azúcar','agua','polvo de hornear']"
Empanada de Arroz,"['harina de arroz','queso','manteca','yuca','azúcar','sal','leche','hoja de plátano']"
Falso Conejo,"['carne de res','arvejas','ají amarillo','comino','pimienta','pan molido','cebolla','ajo','papa','orégano','tomate','perejil','aceite','sal']"
Fricase,"['carne de cerdo','aceite','cebolla','comino','pimienta','ajo','orégano','ají colorado','agua','chuño','pan molido','mote','sal']"
Fritanga,"['carne de cerdo','chuño','maíz pelado','papa','ají colorado','pimienta']"
Karapecho,"['charque de res','mote','papa','limón','aceite']"
Keperi Beniano,"['carne de res','limón','pimienta','comino','agua','sal']"
La Kalapurka,"['carne','charque','papa','harina de maíz','harina willkaparu','ají colorado','cebolla','ajo','orégano','sal','comino','pimienta','chachacoma','piedras volcánicas']"
Locro,"['gallina','arroz','agua','papa','cebolla','tomate','pimentón','huevo','aceite','sal','pimienta','comino']"
Majao,"['charque','arroz','agua','aceite','sal','pimienta','comino','cebolla','pimiento rojo','urucú','ajo','huevo','tomate','banana de freír']"
Mondongo Chuquisaqueño,"['carne de cerdo','mote','papa','ajo','palillo','ají rojo','pimienta']"
Pacu Frito,"['pacu','ajo','pan rallado','aceite','sal','pimienta']"
Pejerrey,"['pejerrey','harina','limón','aceite','sal','pimienta']"
Picana,"['zanahoria','cebolla','perejil','apio','pimentón','pollo','laurel','cordero','orégano','papa','vino','tunta','cerveza','carne de res','nabo','pimienta blanca','ají verde']"
Picante de Pollo,"['pollo','cebolla','tomate','arvejas','perejil','ají rojo','ajo','comino','pimienta','sal','limón']"
Pique Macho,"['carne de res','chorizo','cebolla','tomate','pimentón','huevo','papa','salsa soya','sal','aceite','cerveza']"
Ranga,"['panza de res','papa','ají amarillo','ajo','comino','aceite','vinagre','cebolla','tomate','caldo de carne','sal','pimienta']"
Saice,"['carne molida','papa','tomate','cebolla','pimiento rojo','plátano','zanahoria','arvejas','ají panca','sal','pimienta','comino','orégano']"
Silpancho,"['papa','aceite','arroz','carne de res','comino','pan rallado','tomate','cebolla','perejil','huevo']"
Sopa de Maní,"['caldo','puerro','cebolla','zanahoria','morrón','ajo','osobuco','maní','agua','arroz','arvejas','sal','pimienta','aceite','tomate','ají picante']"
Sopa de Quinua,"['cebolla','sal','pimienta','perejil','arvejas','ají amarillo','haba','caldo de res','orégano','quinua','cordero','papa']"
